test_id,input0_df,input1_df,output_df,math_fidelity,output_t,output_mb_r,output_mb_c,output_ub_r,output_ub_c,mblock_k,ublock_kt,nz_strips,nz_ublocks,nz_tiles,runtime
0,Bfp2,Bfp8,Bfp8,LoFi,1,7,1,2,2,16,4,2,7,39,5830
1,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,6,15,163,15349
2,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,6,15,163,55229
3,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,6,15,163,61177
4,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,6,15,163,75593
5,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,6,15,163,75515
6,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,6,15,163,56709
7,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,6,15,163,55265
8,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,6,15,71,36936
9,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,6,15,71,56327
10,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,6,15,71,36492
11,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,6,15,71,56136
12,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,6,15,71,36418
13,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,6,15,71,44244
14,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,6,15,71,12482
15,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,6,15,163,16711
16,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,4,6,15,71,12461
17,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,4,6,15,163,16656
18,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,6,15,71,10627
19,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,6,15,71,10627
20,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,6,15,163,15346
21,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,6,15,163,21895
22,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,6,15,163,21904
23,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,6,15,71,18534
24,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,6,15,163,19242
25,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,6,15,71,15431
26,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,6,15,71,18546
27,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,6,15,71,15390
28,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,6,15,163,19233
29,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,6,15,163,20542
30,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,6,15,163,25852
31,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,6,15,163,20653
32,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,6,15,163,26018
33,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,6,15,163,15467
34,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,6,15,163,18989
35,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,6,15,163,15479
36,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,6,15,163,19079
37,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,6,15,71,14338
38,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,6,15,71,14483
39,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,6,15,71,10598
40,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,6,15,71,19901
41,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,6,15,71,20357
42,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,6,15,71,15445
43,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,6,15,71,10672
44,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,6,15,71,15470
45,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,2,6,15,71,44183
46,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,16,2,6,15,71,44030
47,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,2,6,15,71,36497
48,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,16,2,6,15,71,37039
49,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,2,6,15,71,56200
50,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,2,6,15,71,15409
51,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,6,15,71,56238
52,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,2,6,15,71,36507
53,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,2,6,15,71,15389
54,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,2,6,15,71,10576
55,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,2,6,15,71,10551
56,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,2,6,15,71,15476
57,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,2,6,15,71,10663
58,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,2,6,15,71,15512
59,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,2,6,15,71,10606
60,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,2,6,15,71,36891
61,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,2,6,15,71,18516
62,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,2,6,15,71,20297
63,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,2,6,15,71,12491
64,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,2,6,15,71,14255
65,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,2,6,15,71,18473
66,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,2,6,15,71,20014
67,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,2,6,15,71,14229
68,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,2,6,15,71,12494
69,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,6,31,135,66525
70,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,6,31,323,107974
71,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,6,31,135,66740
72,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,6,31,323,108030
73,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,2,6,31,135,66620
74,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,2,6,31,135,18324
75,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,2,6,31,135,21993
76,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,6,31,135,21970
77,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,6,31,323,30194
78,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,6,31,135,18397
79,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,6,31,323,28573
80,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,6,31,135,66590
81,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,6,31,135,21977
82,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,6,31,323,30238
83,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,6,31,135,18319
84,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,6,31,323,28559
85,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,2,6,31,135,21934
86,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,2,6,31,135,18376
87,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,6,31,135,25636
88,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,2,6,31,135,25383
89,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,6,31,323,38371
90,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,6,31,135,18454
91,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,6,31,323,27745
92,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,2,6,31,135,18563
93,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,2,6,31,135,18600
94,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,2,6,31,135,25327
95,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,6,31,135,18424
96,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,6,31,323,27733
97,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,6,31,323,38406
98,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,6,31,135,25476
99,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,2,4,11,55,27252
100,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,16,2,4,11,55,27173
101,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,2,4,11,55,7740
102,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,2,4,11,55,7717
103,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,16,2,4,11,55,33458
104,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,2,4,11,55,9401
105,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,2,4,11,55,10009
106,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,2,4,23,103,17425
107,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,2,4,23,103,13419
108,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,2,4,11,55,15393
109,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,2,4,11,55,12107
110,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,2,4,23,103,48501
111,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,2,4,11,55,44440
112,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,2,4,11,55,12114
113,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,2,4,23,103,13295
114,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,2,4,11,55,14814
115,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,2,4,23,103,16359
116,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,2,2,4,11,55,10379
117,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,2,4,11,55,9872
118,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,2,4,11,55,7731
119,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,2,2,4,11,55,8022
120,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,2,4,11,55,9363
121,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,2,2,4,11,55,9729
122,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,2,4,11,55,14793
123,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,2,4,11,55,15211
124,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,2,4,11,55,15329
125,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,2,4,11,55,15842
126,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,2,4,11,55,12096
127,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,2,4,11,55,12402
128,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,2,4,11,55,12319
129,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,2,2,4,11,55,7905
130,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,2,4,11,55,7688
131,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,2,4,11,55,12161
132,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,2,4,23,103,16373
133,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,2,4,23,103,13345
134,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,2,4,23,103,16752
135,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,2,4,23,103,13588
136,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,2,4,23,103,17000
137,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,2,4,23,103,13354
138,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,2,4,23,103,17440
139,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,2,4,23,103,13633
140,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,2,4,11,55,33523
141,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,2,4,11,55,27271
142,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,2,4,11,55,35080
143,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,2,4,11,55,28501
144,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,2,4,11,55,45725
145,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,4,11,55,44447
146,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,2,4,23,103,48372
147,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,2,4,23,103,49633
148,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,2,4,11,55,27136
149,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,2,4,11,55,28338
150,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,4,11,123,14592
151,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,4,11,123,14566
152,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,23,243,26772
153,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,23,103,17484
154,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,23,243,26822
155,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,23,103,17188
156,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,23,243,18559
157,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,23,103,13347
158,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,23,243,18544
159,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,23,103,13346
160,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,11,123,19960
161,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,11,123,19884
162,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,7,4,4,11,55,15494
163,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,16,4,4,11,55,15498
164,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,11,123,13983
165,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,11,123,13984
166,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,7,4,4,11,55,12084
167,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,16,4,4,11,55,12126
168,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,11,123,19583
169,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,11,55,15833
170,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,11,123,14841
171,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,11,55,12412
172,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,23,103,13591
173,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,23,103,17681
174,Bfp2,Float16,Float16,HiFi2,3,7,1,4,1,2,4,4,23,243,20497
175,Bfp2,Float16,Float16,HiFi2,3,7,1,4,2,2,4,4,23,243,27038
176,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,23,103,13300
177,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,23,103,13308
178,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,23,243,19410
179,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,23,243,19399
180,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,23,103,13539
181,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,23,243,19995
182,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,11,55,12373
183,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,2,4,4,11,123,14666
184,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,11,55,12044
185,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,11,55,12067
186,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,16,4,4,11,123,14030
187,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,1,7,4,4,11,123,14009
188,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,23,103,16392
189,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,23,103,16382
190,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,23,243,19737
191,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,23,243,19750
192,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,11,55,14741
193,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,7,4,4,11,123,16388
194,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,11,55,14768
195,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,16,4,4,11,123,16389
196,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,23,103,16781
197,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,23,243,21840
198,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,11,55,15201
199,Bfp2,Bfp8,Bfp8,LoFi,3,7,1,4,2,2,4,4,11,123,17415
200,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,23,103,48425
201,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,23,103,48379
202,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,11,55,44460
203,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,11,55,44445
204,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,23,243,71940
205,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,16,4,4,11,123,55308
206,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,23,243,71826
207,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,23,243,73917
208,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,11,123,57062
209,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,23,103,49638
210,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,2,4,4,11,55,45648
211,Bfp2,Bfp8,Bfp8,LoFi,3,7,4,4,1,7,4,4,11,123,55214
212,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,7,4,4,11,55,10039
213,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,16,4,4,11,55,10020
214,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,2,4,4,11,55,10474
215,Bfp2,Float16,Float16,HiFi2,3,4,1,4,2,2,4,4,11,123,14938
216,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,4,4,11,55,28334
217,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,2,4,4,11,123,40293
218,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,2,4,4,11,55,8046
219,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,2,4,4,11,123,11022
220,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,4,4,11,55,35063
221,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,2,4,4,11,55,9715
222,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,2,4,4,11,123,44057
223,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,2,4,4,11,123,11942
224,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,4,4,11,55,28535
225,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,2,4,4,11,123,39785
226,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,2,4,4,11,55,7881
227,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,2,4,4,11,123,10854
228,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,4,11,55,7718
229,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,4,11,55,7776
230,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,16,4,4,11,123,10447
231,Bfp2,Float16,Float16,HiFi2,3,4,1,4,1,7,4,4,11,123,10455
232,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,4,11,123,10414
233,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,4,11,123,10405
234,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,16,4,4,11,55,7716
235,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,1,7,4,4,11,55,7710
236,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,4,11,123,38365
237,Bfp2,Float16,Float16,HiFi2,3,4,4,4,1,7,4,4,11,55,27147
238,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,4,11,123,37264
239,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,4,11,123,37232
240,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,16,4,4,11,55,27241
241,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,1,7,4,4,11,55,27184
242,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,4,11,123,40992
243,Bfp2,Bfp8,Bfp8,LoFi,3,4,4,4,2,7,4,4,11,55,33507
244,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,4,11,55,9371
245,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,16,4,4,11,123,11148
246,Bfp2,Bfp8,Bfp8,LoFi,3,4,1,4,2,7,4,4,11,123,11100
