input0_df,math_fidelity,t,mblock_m,mblock_n,ublock_rt,ublock_ct,runtime
Bfp8_b,LoFi,1,1,1,1,2,402
Bfp8_b,LoFi,1,1,1,1,8,753
Bfp8_b,LoFi,1,1,1,1,16,1541
Bfp8_b,LoFi,1,1,1,8,2,1625
Bfp8_b,LoFi,1,1,1,8,8,5807
Bfp8_b,LoFi,1,1,1,8,16,11749
Bfp8_b,LoFi,1,1,4,1,2,862
Bfp8_b,LoFi,1,1,4,1,8,2868
Bfp8_b,LoFi,1,1,4,1,16,5761
Bfp8_b,LoFi,1,1,4,8,2,5814
Bfp8_b,LoFi,1,1,4,8,8,23303
Bfp8_b,LoFi,1,1,4,8,16,47115
Bfp8_b,LoFi,1,1,8,1,2,1430
Bfp8_b,LoFi,1,1,8,1,8,5744
Bfp8_b,LoFi,1,1,8,1,16,11539
Bfp8_b,LoFi,1,1,8,8,2,11584
Bfp8_b,LoFi,1,1,8,8,8,46634
Bfp8_b,LoFi,1,4,1,1,2,958
Bfp8_b,LoFi,1,4,1,1,8,2874
Bfp8_b,LoFi,1,4,1,1,16,5818
Bfp8_b,LoFi,1,4,1,8,2,6052
Bfp8_b,LoFi,1,4,1,8,8,23306
Bfp8_b,LoFi,1,4,1,8,16,47102
Bfp8_b,LoFi,1,4,4,1,2,2881
Bfp8_b,LoFi,1,4,4,1,8,11532
Bfp8_b,LoFi,1,4,4,1,16,23092
Bfp8_b,LoFi,1,4,4,8,2,23296
Bfp8_b,LoFi,1,4,8,1,2,5774
Bfp8_b,LoFi,1,4,8,1,8,23043
Bfp8_b,LoFi,1,4,8,1,16,46206
Bfp8_b,LoFi,1,4,8,8,2,46372